epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,4523.35,0.62908,0.58446,1.091,0.97673,0.97357,0.98313,0.87628,0.52702,0.35521,1.02021,0.0001795,0.0001795,0.0001795
74,4585.46,0.62205,0.58241,1.08913,0.98315,0.96569,0.98553,0.87654,0.5261,0.37104,1.01903,0.000173313,0.000173313,0.000173313
75,4646.2,0.62289,0.58086,1.08451,0.98304,0.96756,0.98101,0.87187,0.52476,0.3632,1.01426,0.000167125,0.000167125,0.000167125
76,4706.51,0.60878,0.56062,1.07761,0.97434,0.96606,0.98224,0.8762,0.51756,0.35299,1.0108,0.000160938,0.000160938,0.000160938
77,4767.56,0.61351,0.55857,1.08154,0.98059,0.97245,0.98261,0.87891,0.51648,0.3441,1.00788,0.00015475,0.00015475,0.00015475
78,4828.8,0.61817,0.58163,1.0845,0.98049,0.97159,0.98259,0.8719,0.52178,0.35851,1.01411,0.000148563,0.000148563,0.000148563
79,4889.6,0.61661,0.56991,1.08156,0.97549,0.97019,0.98223,0.8827,0.51513,0.35972,1.00592,0.000142375,0.000142375,0.000142375
80,4951.39,0.61529,0.57364,1.08304,0.98286,0.97113,0.98247,0.88208,0.51741,0.36203,1.00431,0.000136187,0.000136187,0.000136187
81,5013.34,0.60781,0.55783,1.08066,0.98124,0.97405,0.98549,0.88329,0.51496,0.34623,1.00282,0.00013,0.00013,0.00013
82,5074.36,0.60502,0.55747,1.07976,0.98275,0.97489,0.98339,0.8875,0.50853,0.37017,0.99975,0.000123812,0.000123812,0.000123812
83,5135.1,0.59993,0.56072,1.07588,0.98291,0.97573,0.98464,0.88574,0.49147,0.32908,0.98762,0.000117625,0.000117625,0.000117625
84,5197.03,0.59686,0.55305,1.07206,0.98418,0.97678,0.98337,0.88411,0.49866,0.33676,0.99443,0.000111438,0.000111438,0.000111438
85,5258.16,0.59024,0.54311,1.06677,0.98495,0.97302,0.98649,0.89033,0.49075,0.32518,0.98574,0.00010525,0.00010525,0.00010525
86,5320.62,0.58846,0.53854,1.06438,0.98872,0.97206,0.98576,0.89301,0.48471,0.32508,0.97867,9.90625e-05,9.90625e-05,9.90625e-05
87,5382.68,0.57817,0.52835,1.06559,0.98969,0.97379,0.985,0.89775,0.4811,0.32978,0.97525,9.2875e-05,9.2875e-05,9.2875e-05
88,5443.58,0.5878,0.5412,1.064,0.98902,0.97593,0.98433,0.89373,0.47959,0.32675,0.97823,8.66875e-05,8.66875e-05,8.66875e-05
89,5504.57,0.57046,0.52588,1.05935,0.99056,0.97335,0.98343,0.90141,0.4711,0.32218,0.97055,8.05e-05,8.05e-05,8.05e-05
90,5565.73,0.56826,0.52848,1.0594,0.99046,0.97352,0.98434,0.89558,0.47421,0.32161,0.97124,7.43125e-05,7.43125e-05,7.43125e-05
91,5626.7,0.39788,0.32263,0.98872,0.98983,0.97735,0.9842,0.89236,0.48065,0.34154,0.97542,6.8125e-05,6.8125e-05,6.8125e-05
92,5683.84,0.37578,0.29314,0.97946,0.98878,0.97315,0.98195,0.8942,0.47805,0.33072,0.97324,6.19375e-05,6.19375e-05,6.19375e-05
93,5740.52,0.36325,0.27921,0.96457,0.99199,0.97504,0.98418,0.90165,0.46294,0.32579,0.96402,5.575e-05,5.575e-05,5.575e-05
94,5796.65,0.35962,0.27731,0.95836,0.986,0.97449,0.9836,0.90255,0.44643,0.31516,0.95141,4.95625e-05,4.95625e-05,4.95625e-05
95,5853.2,0.35761,0.27119,0.95984,0.98879,0.97851,0.98585,0.90503,0.44434,0.31265,0.94851,4.3375e-05,4.3375e-05,4.3375e-05
96,5909.38,0.348,0.26981,0.95698,0.99066,0.97357,0.98302,0.90441,0.43767,0.30867,0.94519,3.71875e-05,3.71875e-05,3.71875e-05
97,5966.76,0.3465,0.25844,0.95285,0.99019,0.97983,0.98411,0.91086,0.43321,0.30894,0.941,3.1e-05,3.1e-05,3.1e-05
98,6023.68,0.34051,0.25945,0.94851,0.98975,0.97801,0.98441,0.91264,0.42307,0.30895,0.93457,2.48125e-05,2.48125e-05,2.48125e-05
99,6080.42,0.33872,0.25573,0.95052,0.99055,0.97997,0.98492,0.91344,0.42247,0.30349,0.93426,1.8625e-05,1.8625e-05,1.8625e-05
100,6137.77,0.33348,0.24999,0.94377,0.99008,0.97916,0.98451,0.91556,0.41846,0.30646,0.93219,1.24375e-05,1.24375e-05,1.24375e-05
